type,amountOfAttributes,executionTime
hashlist,1353,3
hashlist,1354,2
hashlist,1355,2
hashlist,1356,3
hashlist,1357,2
hashlist,1358,2
hashlist,1359,2
hashlist,1360,2
hashlist,1361,3
hashlist,1362,2
hashlist,1363,2
hashlist,1364,3
hashlist,1365,2
hashlist,1366,3
hashlist,1367,2
hashlist,1368,2
hashlist,1369,3
hashlist,1370,3
hashlist,1371,2
hashlist,1372,2
hashlist,1373,2
hashlist,1374,3
hashlist,1375,2
hashlist,1376,2
hashlist,1377,3
hashlist,1378,2
hashlist,1379,2
hashlist,1380,3
hashlist,1381,2
hashlist,1382,2
hashlist,1383,3
hashlist,1384,2
hashlist,1385,2
hashlist,1386,3
hashlist,1387,2
hashlist,1388,2
hashlist,1389,3
hashlist,1390,2
hashlist,1391,3
hashlist,1392,3
hashlist,1393,2
hashlist,1394,3
hashlist,1395,3
hashlist,1396,2
hashlist,1397,3
hashlist,1398,3
hashlist,1399,2
hashlist,1400,2
hashlist,1401,2
hashlist,1402,3
hashlist,1403,3
hashlist,1404,2
hashlist,1405,3
hashlist,1406,2
hashlist,1407,2
hashlist,1408,3
hashlist,1409,2
hashlist,1410,2
hashlist,1411,3
hashlist,1412,3
hashlist,1413,2
hashlist,1414,2
hashlist,1415,2
hashlist,1416,3
hashlist,1417,3
hashlist,1418,2
hashlist,1419,3
hashlist,1420,2
hashlist,1421,2
hashlist,1422,3
hashlist,1423,2
hashlist,1424,3
hashlist,1425,3
hashlist,1426,3
hashlist,1427,2
hashlist,1428,2
hashlist,1429,3
hashlist,1430,3
hashlist,1431,2
hashlist,1432,3
hashlist,1433,2
hashlist,1434,2
hashlist,1435,3
hashlist,1436,2
hashlist,1437,3
hashlist,1438,2
hashlist,1439,3
hashlist,1440,3
hashlist,1441,2
hashlist,1442,3
hashlist,1443,2
hashlist,1444,3
hashlist,1445,2
hashlist,1446,3
hashlist,1447,2
hashlist,1448,3
hashlist,1449,2
hashlist,1450,4
hashlist,1451,3
hashlist,1452,2
hashlist,1453,3
hashlist,1454,3
hashlist,1455,2
hashlist,1456,3
hashlist,1457,3
hashlist,1458,2
hashlist,1459,3
hashlist,1460,2
hashlist,1461,3
hashlist,1462,3
hashlist,1463,3
hashlist,1464,3
hashlist,1465,2
hashlist,1466,3
hashlist,1467,2
hashlist,1468,3
hashlist,1469,3
hashlist,1470,3
hashlist,1471,2
hashlist,1472,3
hashlist,1473,2
hashlist,1474,3
hashlist,1475,4
hashlist,1476,2
hashlist,1477,4
hashlist,1478,2
hashlist,1479,3
hashlist,1480,3
hashlist,1481,3
hashlist,1482,2
hashlist,1483,3
hashlist,1484,2
hashlist,1485,3
hashlist,1486,3
hashlist,1487,3
